Pág.,Mês,Ano,VA Funcionario,Seguro Vida Fun,Vale Ref Func,INSS Normal,IRF Normal,Vale Transp Fun,Adt Norm Desc,Hr Ext Diu  60%,Hr Ext Diu  80%,Vale Gas,Smart 500 QC,Hrs Atrasos,DSR,Part Lucr Resul,IRF Part Result,PLR Pago,INSS 13o. Sal,Hr Ext Not 80%,IRF 13o. Sal,Hr Supl Ext Not,Multas,Hr Ext Not  60%,Ferias Recebida,IRF Recol Fer,Fer Normais,Médias Férias,Fer 1/,Hr Ext Diu 100%
1,04,2017,"30,67","2,40","36,00","100,85","0,00","58,18",,,,,,,,,,,,,,,,,,,,,,
2,05,2017,"46,00","2,40","266,00","185,83","0,00","87,28","756,39","116,66","29,13","4,25",,,,,,,,,,,,,,,,,,
3,06,2017,"46,00","2,40","60,00","190,52","0,00","287,28","756,39","156,31","24,49","4,25","215,10",,,,,,,,,,,,,,,,,
4,07,2017,"46,00","2,40","163,00","184,71","0,00","287,28","756,39","125,60","12,89","4,25","215,13","35,87",,,,,,,,,,,,,,,,
5,08,2017,"46,00","2,51","575,00","174,05","0,00","91,30","756,39","5,75",,"4,25","215,13",,"350,72",,,,,,,,,,,,,,,
6,09,2017,"46,00","2,51","266,00","178,33","0,00","691,30","791,23","2,88",,"4,25","208,47",,,"2.819,91","0,00",,,,,,,,,,,,,
7,10,2017,"50,14","2,58","163,00","190,14","0,00","694,04","791,23","13,82",,"4,25","208,47","1,39",,"2.819,91",,"02.819,91",,,,,,,,,,,,
8,11,2017,"48,07","2,58","72,60","243,56","13,46","94,04","814,97","446,75","88,35","4,32","208,47",,,,,,,,,,,,,,,,,
9,12,2017,"48,07","2,58","66,00","240,90","11,44","94,04","814,97","296,34","173,38","4,32","208,47",,,,,,"349,11","31,96","97,78","3,51",,,,,,,,
10,01,2018,"96,14","2,58","272,60","187,07","0,00","494,04","814,97","34,32",,"4,32","208,47",,,"458,42","0,00",,"347,46",,,,,,,,,,,
11,02,2018,"48,07","2,58","66,00","193,52","0,00","94,04","814,97","94,09",,"4,32","208,47",,,"458,42",,"458,42",,,,,,,,,,,,
12,03,2018,"48,07","2,58","169,30","216,38","0,00","294,04","814,97","150,15","155,60","4,32","208,47",,,,,,,,,,,,,,,,,
13,04,2018,"48,07","2,58","169,30","212,46","0,00","94,04","814,97","124,47","134,19","4,32","233,49",,,,,,,,,,,,,,,,,
14,05,2018,"48,07","2,58","169,30","233,79","0,00","94,03","814,97","199,06","249,21","4,32","155,66",,,,,,,,,,,,,,,,,
15,06,2018,"48,07","2,58","66,00","249,65","18,08","94,04","814,97","328,94","284,79","4,32","155,66",,,,,,,,,,"104,13",,,,,,,
16,07,2018,"48,07","2,58","169,30","322,34","24,36","294,04","814,97","277,34","433,42","4,32","155,66",,,,,,,,,"0,30",,"2,71",,,,,,
17,08,2018,"48,07","1,76","375,90","236,77","0,00","694,04","814,97","224,50","289,77","4,32","155,66",,,,,,,,,,"104,13",,,,,,,
18,09,2018,"48,07","1,76",,"349,01",,,,"86,43","60,85","4,32","155,66",,,"3.878,54","0,00",,,,,,,,"03.525,03","32,79","1.901,60","238,08","713,23",
19,10,2018,"48,07","1,82","66,00","228,93","0,00","90,96","762,39","91,64","126,98","4,48","155,66",,,"3.878,54",,"03.878,54",,,,,,,"181,36",,"135,83","17,01","50,94",
20,11,2018,"53,86","1,82","72,30","229,13","0,00","97,46","844,64","170,99","176,50","4,48","155,66",,,,,,,,,,,,,,,,,
21,12,2018,"100,00","1,82","275,90","232,37","0,00","97,46","844,64","172,51","203,00","4,48","155,66","71,60",,,,,"349,11",,"97,78","0,17",,"1,54",,,,,,
22,01,2019,"50,00","1,82","586,25","208,12","0,00","497,46","844,64","99,56","64,51","4,48","155,66",,,"633,48","0,00",,"347,46",,,"0,28",,"2,56",,,,,,
23,02,2019,"50,00","1,82","965,55","216,59","0,00","897,46","844,64","120,31","125,55","4,48","155,66",,,"633,48",,"633,48",,,,,,,,,,,,
24,03,2019,"50,00","1,82","379,35","221,46","0,00","297,46","844,64","114,66","121,23","4,48","155,66",,,,,,,,,,,,,,,,,"55,04"
